train_time,passenger_count_total,passenger_count_avg_per_day
5:04:00,430,47.77777777777778
5:14:00,193,21.444444444444443
5:24:00,198,22.0
5:34:00,904,100.44444444444444
5:44:00,644,71.55555555555556
5:54:00,653,72.55555555555556
6:04:00,589,65.44444444444444
6:13:00,739,82.11111111111111
6:22:00,1169,129.88888888888889
6:28:00,423,47.0
6:35:00,1275,141.66666666666666
6:42:00,618,68.66666666666667
6:45:00,832,92.44444444444444
6:52:00,814,90.44444444444444
6:59:00,1585,176.11111111111111
7:06:00,1563,173.66666666666666
7:12:00,894,99.33333333333333
7:17:00,836,92.88888888888889
7:24:00,1946,216.22222222222223
7:30:00,1992,221.33333333333334
7:36:00,1787,198.55555555555554
7:42:00,1443,160.33333333333334
7:47:00,1798,199.77777777777777
7:54:00,2396,266.22222222222223
8:00:00,1435,159.44444444444446
8:06:00,1961,217.88888888888889
8:12:00,2329,258.77777777777777
8:18:00,2188,243.11111111111111
8:24:00,1780,197.77777777777777
8:31:00,1722,191.33333333333334
8:37:00,1648,183.11111111111111
8:44:00,2150,238.88888888888889
8:48:00,1107,123.0
8:52:00,915,101.66666666666667
8:59:00,2367,263.0
9:07:00,2232,248.0
9:15:00,2208,245.33333333333334
9:21:00,2169,241.0
9:23:00,333,37.0
9:31:00,1980,220.0
9:39:00,2283,253.66666666666666
9:43:00,743,82.55555555555556
9:47:00,1395,155.0
9:55:00,1956,217.33333333333334
10:03:00,1606,178.44444444444446
10:11:00,2650,294.44444444444446
10:19:00,2675,297.22222222222223
10:27:00,1330,147.77777777777777
10:35:00,2586,287.3333333333333
10:43:00,2455,272.77777777777777
10:51:00,1286,142.88888888888889
10:59:00,2429,269.8888888888889
11:07:00,1840,204.44444444444446
11:15:00,1449,161.0
11:23:00,2062,229.11111111111111
11:31:00,1096,121.77777777777777
11:39:00,2126,236.22222222222223
11:47:00,1021,113.44444444444444
11:55:00,1773,197.0
12:03:00,982,109.11111111111111
12:11:00,2025,225.0
12:19:00,1514,168.22222222222223
12:27:00,1374,152.66666666666666
12:35:00,1318,146.44444444444446
12:43:00,1413,157.0
12:51:00,1365,151.66666666666666
12:59:00,1140,126.66666666666667
13:07:00,1385,153.88888888888889
13:15:00,1179,131.0
13:23:00,1745,193.88888888888889
13:31:00,874,97.11111111111111
13:39:00,1640,182.22222222222223
13:47:00,844,93.77777777777777
13:55:00,1354,150.44444444444446
14:03:00,790,87.77777777777777
14:11:00,1383,153.66666666666666
14:19:00,1047,116.33333333333333
14:27:00,947,105.22222222222223
14:35:00,977,108.55555555555556
14:43:00,983,109.22222222222223
14:51:00,998,110.88888888888889
14:59:00,779,86.55555555555556
15:07:00,968,107.55555555555556
15:15:00,803,89.22222222222223
15:23:00,1180,131.11111111111111
15:31:00,730,81.11111111111111
15:39:00,1244,138.22222222222223
15:47:00,712,79.11111111111111
15:54:00,903,100.33333333333333
16:01:00,680,75.55555555555556
16:08:00,976,108.44444444444444
16:14:00,835,92.77777777777777
16:22:00,1032,114.66666666666667
16:28:00,538,59.77777777777778
16:30:00,429,47.666666666666664
16:36:00,812,90.22222222222223
16:43:00,911,101.22222222222223
16:49:00,504,56.0
16:55:00,818,90.88888888888889
17:01:00,650,72.22222222222223
17:06:00,699,77.66666666666667
17:13:00,709,78.77777777777777
17:19:00,995,110.55555555555556
17:25:00,473,52.55555555555556
17:31:00,754,83.77777777777777
17:37:00,784,87.11111111111111
17:43:00,587,65.22222222222223
17:49:00,633,70.33333333333333
17:55:00,618,68.66666666666667
18:01:00,653,72.55555555555556
18:07:00,871,96.77777777777777
18:13:00,470,52.22222222222222
18:19:00,901,100.11111111111111
18:25:00,509,56.55555555555556
18:32:00,848,94.22222222222223
18:38:00,519,57.666666666666664
18:45:00,750,83.33333333333333
18:53:00,496,55.111111111111114
19:01:00,730,81.11111111111111
19:09:00,750,83.33333333333333
19:13:00,239,26.555555555555557
19:17:00,270,30.0
19:25:00,719,79.88888888888889
19:33:00,759,84.33333333333333
19:40:00,451,50.111111111111114
19:49:00,707,78.55555555555556
19:57:00,593,65.88888888888889
20:05:00,404,44.888888888888886
20:13:00,532,59.111111111111114
20:23:00,624,69.33333333333333
20:33:00,594,66.0
20:43:00,317,35.22222222222222
20:53:00,584,64.88888888888889
21:03:00,484,53.77777777777778
21:13:00,505,56.111111111111114
21:18:00,293,32.55555555555556
21:23:00,217,24.11111111111111
21:33:00,478,53.111111111111114
21:43:00,320,35.55555555555556
21:53:00,458,50.888888888888886
22:03:00,420,46.666666666666664
22:08:00,145,16.11111111111111
22:13:00,296,32.888888888888886
22:23:00,344,38.22222222222222
22:33:00,363,40.333333333333336
22:43:00,332,36.888888888888886
22:48:00,93,10.333333333333334
22:58:00,321,35.666666666666664
23:08:00,296,32.888888888888886
23:22:00,275,30.555555555555557
23:32:00,188,20.88888888888889
23:45:00,200,22.22222222222222
